Author	Name	Done	Remarks	pages of PDF
विश्वशम्भु	एकाक्षरनाममालिका	no		65-69
राघवकवि	एकाक्षरकाण्डः	yes		
सौभरि	एकाक्षरनाममाला	yes		
सौभरि	द्व्यक्षरनाममाला	yes		
हरितालराजामात्यमाधव	एकाक्षरशब्दमाला	no		80-84
इरुगपदण्डाधिनाथ	नानार्थरत्नमालागत एकाक्षरकोषः	yes		
आचार्यश्रीहेमचन्द्रसूरीश्वर	अनेकार्थसङ्ग्रहान्तर्गत एकाक्षरकोषः	yes		
सुधाकलशमुनि	एकाक्षरनाममाला	yes		
श्रीमहाक्षपणक	एकाक्षरकोषः	yes		
परमानन्दनन्दन	एकाक्षरीयप्रथमकाण्डः	yes		
वररुचि	एकाक्षरनाममाला	no		95-96
पुरुषोत्तमदेव	एकाक्षरकोषः	yes		
श्रीअमरचन्द्रकवि	एकाक्षरनाममालिका	yes		
श्रीधरसेनाचार्य	एकाक्षरनानार्थकाण्डः	yes		
महीपसचिव	एकाक्षरसंज्ञः काण्डः	yes		
अज्ञातविद्वत्	एकाक्षरकोषः	no		104
महाराजशाहराज	एकाक्षरनाममाला	yes		
अज्ञातविद्वत्	एकाक्षरनाममाला	no		106-107
मेदिनीकार	एकाक्षरनाममाला	yes		
	एकाक्षरीमातृकाकोषः	no		110-111
	अजिरादि-एकाक्षरनाममाला	no		112-113
	नत्वादि-एकाक्षरनाममाला	no		114
	अभिधानादि-एकाक्षरनाममाला	no		115-116
पण्डितमनोहर	एकाक्षरकोषः	no		117-118
कालिदासव्यास	एकाक्षरनाममाला	no		119-124
महेश्वरकवि	एकाक्षरनाममाला	yes		
रामावतारशर्मन्	वाङ्मयार्णवान्तर्गत एकाक्षरकोषः	no	Full work needs to be digitized separately	126-129
श्रीसुशीलसूरि	एकाक्षरकोशमाला	no		130-131
मथुरेश	शब्दरत्नावल्यन्तर्गत एकाक्षरकोषः	yes	ongoing	
तारानाथभट्टाचार्य	शब्दस्तोममहानिध्यन्तर्गत एकाक्षरकोषः	no	Full work needs to be digitized separately	135-139
सुखानन्दनाथ	शब्दार्थचिन्तामण्यन्तर्गत एकाक्षरकोषः	no	Full work needs to be digitized separately	140-147
तारानाथ	वाचस्पत्यान्तर्गत एकाक्षरकोषः	yes	No need	
राधाकान्तबाहदुर	शब्दकल्पद्रुमान्तर्गत एकाक्षरकोषः	yes	No need	
श्रीहेमचन्द्राचार्य	अभिधानचिन्तामणिनाममालाऽन्तर्गत एकाक्षरकोषः	yes		
	शेषनाममाला-शिलोञ्छनाममालाऽन्तर्गत एकाक्षरकोषः	yes		
श्रीसुशीलसूरि	सुशीलनाममालाऽन्तर्गत एकाक्षरकोषः	no	Full work needs to be digitized separately	168-170
अमरसिंह	अमरकोषान्तर्गत एकाक्षरकोषः	yes		
यादवप्रकाश	वैजयन्तीकोषान्तर्गत एकाक्षरकोषः	yes		
मङ्ख	मङ्खकोषान्तर्गत एकाक्षरकोषः	yes		
पुरुषोत्तमदेव	त्रिकाण्डाशेषान्तर्गत एकाक्षरकोषः	yes		
श्रीसाधुसुन्दरगणि	शब्दरत्नाकरान्तर्गत एकाक्षरकोषः	yes		
हलायुध	हलायुधकोषान्तर्गत एकाक्षरकोषः	yes		
केशवस्वामिन्	नानार्थार्णवसंक्षेपान्तर्गत एकाक्षरकोषः	yes		
भास्करपण्डित	एकाक्षरकोषाभिधानम्	no		189-190
अज्ञातपण्डित	एकाक्षरकोषः	no		191-192
शाश्वत	शाश्वतकोषान्तर्गत एकाक्षरकोषः	yes		
श्रीआनन्दसागरसूरि	लघुतमनामकोषान्तर्गत एकाक्षरकोषः	no	Full work needs to be digitized separately	194-195
धनञ्जय	धनञ्जयनाममालाऽन्तर्गत एकाक्षरकोषः	yes		
केशव	कल्पद्रुकोषान्तर्गत एकाक्षरकोषः	yes	ongoing	
मुनिराजसुन्दरविजय	सुन्दरैकाक्षरकोषः	no		200-253
हरितालराजामात्यमाधव	एकाक्षरशब्दमाला	no		254-258
	एकादिसंख्यासंज्ञाकोषः	no		259-260
कवि रतनू वीरभांण	राजस्थानीभाषानिबद्ध एकाक्षरी नाममाला	no		261-262
	संस्कृत-इंग्लिश एकाक्षरकोषः (A Sanskrit English Dictionary)	no need		
	संस्कृत-गुजराति एकाक्षरकोषः (શબ્દરત્નમહોદધિ)	no need		
